"";"id";"edges";"delay";"X";"accession"
"1";"YGL216W";1;0;3925;"P53086"
"2";"YMR062C";1;0;3703;"Q04728"
"3";"YLR197W";3;0;5376;"Q12460"
"4";"YMR315W";3;0;160;"Q04869"
"5";"YDR027C";6;0;5438;"Q12071"
"6";"YLR344W";6;0;3145;"P05743"
"7";"YDL110C";9;0;2484;"Q12513"
"8";"YDR122W";9;0;2711;"P13185"
"9";"YFL016C";10;0;841;"P35191"
"10";"YGR248W";10;0;4418;"P53315"
"11";"YGL097W";11;0;151;"P21827"
"12";"YML093W";11;0;2768;"Q04500"
"13";"YBR214W";12;0;6785;"P38314"
"14";"YML054C";12;0;5266;"P00175"
"15";"YGR256W";14;0;1456;"P53319"
"16";"YML073C";14;0;962;"Q02326"
"17";"YBR006W";19;0;6675;"P38067"
"18";"YHR025W";19;0;6602;"P17423"
"19";"YDL165W";21;0;61;"P06100"
"20";"YEL037C";21;0;1204;"P32628"
"21";"YLR009W";29;0;2885;"Q07915"
"22";"YLR270W";29;0;97;"Q06151"
"23";"YGR162W";35;0;3437;"P39935"
"24";"YOR048C";35;0;6597;"Q02792"
"25";"YGL167C";93;0;60;"P13586"
"26";"YMR258C";93;0;2355;"Q04847"
"27";"YHR179W";137;0;5481;"Q03558"
"28";"YJL217W";137;0;2528;"P40893"
"29";"YLR188W";169;0;3399;"P33310"
"30";"YMR291W";169;0;3640;"Q03533"
"31";"YLR114C";178;0;1344;"Q12500"
"32";"YNL232W";178;0;3503;"P53859"
"33";"YGL106W";203;0;6378;"P53141"
"34";"YPL190C";203;0;956;"P38996"
"35";"YBR230W-A";5;1;3616;"Q3E762"
"36";"YDR084C";5;1;3353;"P38962"
"37";"YFR004W";6;1;5423;"P43588"
"38";"YOR027W";6;1;1759;"P15705"
"39";"YBR046C";8;1;4535;"P38230"
"40";"YGL036W";8;1;4126;"P53185"
"41";"YDR204W";37;1;1964;"O13525"
"42";"YER182W";37;1;2191;"P40098"
"43";"YJR109C";1;2;5940;"P03965"
"44";"YNL329C";1;2;1217;"P33760"
"45";"YDR392W";2;2;3556;"P06844"
"46";"YEL056W";2;2;6245;"P39984"
"47";"YKL021C";3;2;669;"P20484"
"48";"YOR086C";3;2;5552;"Q12466"
"49";"YJR073C";6;2;6205;"P05375"
"50";"YNL055C";6;2;6644;"P04840"
"51";"YKL173W";7;2;864;"P36048"
"52";"YMR008C";7;2;241;"P39105"
"53";"YMR170C";8;2;3298;"P47771"
"54";"YNL178W";8;2;3512;"P05750"
"55";"YGL122C";11;2;2803;"P32505"
"56";"YGL181W";11;2;3129;"P40956"
"57";"YKL142W";12;2;375;"P35719"
"58";"YMR275C";12;2;3368;"P48524"
"59";"YBR017C";15;2;4948;"P38217"
"60";"YHR043C";15;2;1523;"P38773"
"61";"YOR155C";49;2;2771;"Q99312"
"62";"YPL146C";49;2;4718;"Q12080"
"63";"YER034W";50;2;5239;"P40022"
"64";"YML016C";50;2;4641;"P26570"
"65";"YDR062W";93;2;2130;"P40970"
"66";"YJL020C";93;2;1822;"P47068"
"67";"YDR177W";164;2;6222;"P21734"
"68";"YER122C";164;2;6591;"P38682"
